"Front","Back"
"What is conservation?","Protecting and managing natural resources."
"What is selective logging?","Cutting down some trees only."
"What is captive breeding?","Breeding endangered species in controlled environments."
"What is genetic diversity?","Range of different genes in a population."
"Why is genetic diversity important?","It increases survival chances."
"What is artificial selection?","Humans selecting traits."
"What is cloning in plants?","Producing identical plants from cuttings."
"What is micropropagation?","Growing plants from small tissue samples."
"What is aseptic technique?","Keeping equipment sterile."
"What is a monoclonal antibody?","Identical antibodies produced from one cell."
"What are monoclonal antibodies used for?","Pregnancy tests and targeted drugs."
"What is a pathogen entry point?","A place where pathogens enter the body."
"What is inflammation?","Body response causing redness and swelling."
"What is phagocytosis?","White blood cells engulfing pathogens."
"What are antibodies?","Proteins that target specific pathogens."
"What are antigens?","Molecules that trigger immune response."
"What is herd immunity?","Protection when most population is vaccinated."
"What is placebo?","Inactive substance used in trials."
"What is a double blind trial?","Neither patient nor doctor knows who receives treatment."
"What is a control variable?","Variable kept the same in an experiment."
"What is an independent variable?","Variable you change."
"What is a dependent variable?","Variable you measure."
"What is reliability in experiments?","Getting consistent results."
"What is validity in experiments?","Measuring what you intend to measure."
"What is a control group?","Group not receiving treatment."
"What is peer review?","Evaluation by other scientists."
"What is carbon cycle?","Movement of carbon through living and non living systems."
"What is decomposition in carbon cycle?","Release of carbon dioxide by decay."
"What is combustion?","Burning of fuels releasing carbon dioxide."
"What is protein made of?","Amino acids."
"What are carbohydrates made of?","Simple sugars."
"What are lipids made of?","Fatty acids and glycerol."
"What is osmoregulation?","Controlling water balance."
"What is a reflex arc?","Pathway taken by nerve impulses."
"What is a synapse?","Gap between nerve cells."
"What neurotransmitter does?","Carries signal across synapse."
"What is reaction time affected by?","Age and distractions."
"What is selective permeability?","Only certain substances can pass."
"What is turgid cell?","A plant cell full of water."
"What is plasmolysis?","Plant cell losing water and shrinking."
"What is respiration needed for?","Releasing energy for life processes."
"What is ATP?","Energy molecule in cells."
"What is metabolism?","All chemical reactions in a cell."
"What is sustainable development?","Meeting needs without harming future generations."
"What is GCSE Biology exam tip?","Define key terms clearly and apply them to context."
