Front,Back
to automate,automatiser | automatiser les tâches
automation,l’automatisation | impact de l’automatisation
artificial intelligence,l’intelligence artificielle
to replace workers,remplacer les travailleurs
job security,la sécurité de l’emploi
to lose a job,perdre son emploi
job market,le marché du travail
skills shortage,la pénurie de compétences
qualification gap,le manque de qualifications
to retrain,se reconvertir | se former à nouveau
lifelong learning,l’apprentissage continu
to upskill,améliorer ses compétences
remote work,le télétravail
to work remotely,travailler à distance
flexible hours,les horaires flexibles
work-life balance,l’équilibre vie professionnelle/vie privée
to improve balance,améliorer l’équilibre
stress at work,le stress au travail
burnout,l’épuisement professionnel
to reduce stress,réduire le stress
wellbeing at work,le bien-être au travail
to promote wellbeing,promouvoir le bien-être
environmental issue,le problème environnemental
carbon footprint,l’empreinte carbone
to reduce emissions,réduire les émissions
greenhouse gases,les gaz à effet de serre
global warming,le réchauffement climatique
climate crisis,la crise climatique
to take action,agir | prendre des mesures
measure,la mesure | mesures gouvernementales
policy change,le changement de politique
sustainable,durable | développement durable
sustainability,la durabilité | assurer la durabilité
renewable resources,les ressources renouvelables
fossil fuels,les combustibles fossiles
energy consumption,la consommation d’énergie
to conserve energy,économiser l’énergie
energy efficiency,l’efficacité énergétique
to waste energy,gaspiller de l’énergie
natural resources,les ressources naturelles
deforestation,la déforestation
to protect wildlife,protéger la faune
wildlife,la faune sauvage
biodiversity,la biodiversité
to preserve,preserver | préserver la biodiversité
environmental awareness,la sensibilisation environnementale
to raise awareness,sensibiliser | sensibiliser le public
campaign,la campagne | campagne de sensibilisation
activism,l’activisme | engagement écologique
to protest,manifester | participer à une manifestation
demonstration,la manifestation | manifestation publique
law enforcement,l’application de la loi
to enforce laws,faire appliquer les lois
penalty,la sanction | imposer une sanction
fine,l’amende | payer une amende
ban,l’interdiction | imposer une interdiction
to ban,interdire | interdire quelque chose
restriction,la restriction | restrictions légales
to limit,limiter | limiter l’usage
to control,contrôler | contrôler une situation
to regulate,réglementer | réglementer un secteur
social issue,le problème social
poverty rate,le taux de pauvreté
homelessness,le sans-abrisme
to support the homeless,aider les sans-abri
charity,la charité | organisation caritative
to donate,donner | faire un don
donation,le don | collecter des dons
volunteer,bénévole | travail bénévole
to volunteer,faire du bénévolat
community support,le soutien communautaire
to help others,aider les autres
solidarity,la solidarité | esprit de solidarité
to cooperate,coopérer | coopérer avec
cooperation,la coopération | coopération internationale
conflict,le conflit | éviter les conflits
to resolve conflict,résoudre un conflit
peace,la paix | maintenir la paix
security,la sécurité | sécurité nationale
crime,le crime | taux de criminalité
criminality,la criminalité
to commit a crime,commettre un crime
offender,le délinquant
victim,la victime
justice,la justice | système judiciaire
court,le tribunal | passer au tribunal
judge,le juge | décision du juge
sentence,la peine | purger une peine
prison,la prison | peine de prison
to rehabilitate,réhabiliter | réhabiliter les délinquants
rehabilitation,la réhabilitation
education system,le système éducatif
healthcare system,le système de santé
public services,les services publics
to fund,financer | financer les services
funding,le financement | manque de financement
to invest in services,investir dans les services
quality of services,la qualité des services
access to services,l’accès aux services
inequality of access,l’inégalité d’accès
to improve access,améliorer l’accès
digital divide,la fracture numérique
access to technology,l’accès à la technologie
to bridge the gap,réduire l’écart
social mobility,la mobilité sociale
to improve mobility,améliorer la mobilité sociale
education inequality,l’inégalité éducative
equal opportunities,l’égalité des chances
to provide opportunities,offrir des opportunités

