"Front","Back"
"What is the categorical imperative?","An unconditional moral law that applies to everyone."
"What is CI Formulation 1 (universal law)?","Act only on maxims you could will to become universal laws."
"What is a maxim in Kant?","The underlying rule or intention behind your action."
"What is CI Formulation 2 (humanity)?","Treat people as ends in themselves, never merely as means."
"What is CI Formulation 3 (kingdom of ends)?","Act as if you are making laws for a community of rational persons."
"What is autonomy in Kant?","Rational agents give moral law to themselves through reason."
"What is heteronomy in Kant?","Being guided by desires, emotions or external influences rather than reason."
"What is a strength of Kantian Ethics?","Protects human dignity and provides clear moral duties."
"What is a criticism of Kantian Ethics?","Can be too rigid and ignore consequences in extreme cases."
"What is Utilitarianism?","A consequentialist theory: the best action produces the greatest happiness for the greatest number."
"What is act utilitarianism?","Judge each action by whether it maximises happiness in that situation."
"What is rule utilitarianism?","Follow rules that generally maximise happiness, even if exceptions might seem beneficial."
"What is Bentham’s utilitarianism?","Quantitative utilitarianism focusing on measurable pleasure and pain."
"What is the hedonic calculus?","Bentham’s method to weigh pleasures/pains (intensity, duration, certainty, etc.)."
"What is Mill’s utilitarianism?","Qualitative utilitarianism: higher and lower pleasures; quality matters."
"What are higher pleasures (Mill)?","Intellectual and moral pleasures valued above physical pleasures."
"What is preference utilitarianism?","Maximise satisfaction of preferences rather than pleasure (often linked to Singer)."
"What is a strength of utilitarianism?","Practical and considers impact on everyone affected."
"What is a criticism of utilitarianism?","Can justify harming minorities if it benefits the majority."
"What is Virtue Ethics?","An approach focused on developing good character traits (virtues) rather than rules."
"Who is the key scholar for Virtue Ethics?","Aristotle."
"What is eudaimonia?","Human flourishing; the goal of life in Aristotle’s ethics."
"What is a virtue?","A character trait that enables a person to live well."
"What is the doctrine of the mean?","Virtue lies between excess and deficiency (e.g., courage between rashness and cowardice)."
"What is phronesis?","Practical wisdom—knowing how to act virtuously in real situations."
"What is a strength of Virtue Ethics?","Encourages moral development and long-term good character."
"What is a criticism of Virtue Ethics?","Can be vague—may not give clear guidance for specific dilemmas."
"What is ethical naturalism?","The view that moral terms refer to natural facts (e.g., pleasure, wellbeing)."
"What is Moore’s naturalistic fallacy?","You cannot define ‘good’ using natural properties; ‘good’ is indefinable."
"What is the open question argument?","Even if you define good as X, it still makes sense to ask ‘but is X good?’"
"What is emotivism?","Moral statements express emotions/attitudes, not facts (e.g., ‘Boo!’/‘Hooray!’)."
"Who is associated with emotivism?","A.J. Ayer."
"What is prescriptivism?","Moral statements are prescriptions/commands that guide action (linked to Hare)."
"What is cognitivism?","The view that moral statements can be true or false."
"What is non-cognitivism?","The view that moral statements are not truth-apt; they express attitudes or prescriptions."
"What is intuitionism?","The view we know moral truths by intuition (often linked to G.E. Moore)."
"What is euthanasia?","Intentionally ending a life to relieve suffering; can be voluntary or non-voluntary."
"What is the key ethical debate in euthanasia?","Sanctity of life vs quality of life; autonomy vs potential abuse."
"What is abortion?","Ending a pregnancy; ethical debate includes personhood, rights and bodily autonomy."
"What is business ethics?","Moral decisions in business: profit vs responsibility, treatment of workers, consumers and environment."
"What is sexual ethics?","Ethical issues around relationships, consent, marriage, LGBTQ+ inclusion and sexual behaviour."
"What is Just War theory?","A framework for when war can be morally justified and how it must be fought."
"What are the main Just War principles (summary)?","Just cause, legitimate authority, last resort, proportionality, reasonable chance of success, discrimination/non-combatants."
"What is AO1 in A Level RS ethics essays?","Accurate knowledge and understanding of theories, concepts and scholars."
"What is AO2 in A Level RS ethics essays?","Critical analysis and evaluation, including strengths, weaknesses and reasoned judgement."

